Date,Close,High,Low,Open,Volume
2020-07-20,841.27587890625,876.7569504198326,839.329044358593,873.5446852987337,2390319
2020-07-21,829.0595092773438,849.257917837802,823.5110188986828,848.8198681792569,2209965
2020-07-22,828.1347045898438,846.6782908529884,823.5109727687427,829.4001351004528,1982870
2020-07-23,840.05908203125,841.9085985609305,828.670088387689,829.4975286931456,1590020
2020-07-24,831.1036987304688,850.1827139142844,825.6525854851948,843.9528192802469,2150236
2020-07-27,822.9270629882812,830.7630608830657,806.378967806362,828.3781764596058,1904586
2020-07-28,818.8385620117188,831.7363399351754,816.6970322852899,825.4577871012227,1232300
2020-07-29,836.4574584960938,839.8157600013524,820.7368050402257,822.5376032467607,2037689
2020-07-30,866.7307739257812,870.6731020456617,840.1077755458133,841.3245471514971,4113177
2020-07-31,901.9197387695312,906.2514574033495,855.3417472427101,870.9650821822202,5233499
2020-08-03,908.8760375976562,927.3445231994119,894.571479753935,896.4820271816819,3944365
2020-08-04,921.7599487304688,928.3243651724104,893.542819036663,914.0688420260525,2870818
2020-08-05,909.2190551757812,935.2806981390839,905.3000075241614,921.9559600435454,3672601
2020-08-06,917.3020629882812,926.6587770112486,906.7696227456922,913.9218725318385,3300867
2020-08-07,862.0433959960938,899.8132612341775,856.4097656448779,888.3010600816928,12143243
2020-08-10,938.5628662109375,979.1740064226063,868.1179660232704,868.950799466886,14698270
2020-08-11,938.1220092773438,949.9281280868553,925.8749856575351,945.1763068423376,6022988
2020-08-12,921.1721801757812,933.6641448053829,906.2797868534482,933.6641448053829,2723715
2020-08-13,911.66845703125,926.8547666325229,908.1413380760843,921.1721595159019,2432952
2020-08-14,997.5935668945312,1002.8352690783737,913.3340444781385,913.3340444781385,26833773
2020-08-17,983.3380126953125,1014.0535230234467,974.3731677747031,1007.5871186806557,7593651
2020-08-18,961.8321533203125,1002.1983506974751,958.5009393416477,977.8022584064471,6244582
2020-08-19,961.097412109375,988.3837560921147,955.4637813933762,965.0654356971818,6124085
2020-08-20,962.3711547851562,979.6639767524227,958.5010832055216,964.0857381609507,4884459
2020-08-21,961.538330078125,983.6809245799775,958.2071157761135,978.4881985914814,4143775
2020-08-24,950.4669189453125,972.4136076629103,941.0612293805797,967.0249176456347,4373228
2020-08-25,952.4755249023438,996.5648090089188,949.0953344941893,979.761869035001,7286500
2020-08-26,958.9419555664062,966.2411936504974,944.4904676025702,959.2848483099867,3859285
2020-08-27,963.3018798828125,974.3731770232437,955.5127610778466,958.9419276133733,3902056
2020-08-28,956.3455810546875,971.6788789402881,952.3285811242349,964.5756050584458,2531186
2020-08-31,908.7780151367188,969.9641494536513,903.0464327190031,962.126055316652,5062616
2020-09-01,930.67578125,935.5745903737501,899.5193073830169,913.3339849919416,3982915
2020-09-02,942.5309448242188,950.3690399994721,921.319075836221,931.1166948052878,3758078
2020-09-03,942.2369995117188,952.8184157159845,934.6928211753719,950.2220228483077,2224188
2020-09-04,925.8749389648438,947.0377707926448,916.6161776152119,937.632081046937,2972431
2020-09-07,906.5736694335938,934.0070024920831,903.0955266665194,929.7940383037992,2220516
2020-09-08,900.9400024414062,918.7716801749805,893.3468480597949,911.4724423900931,1923221
2020-09-09,922.0538940429688,928.2264418118885,896.7270730162342,900.3522039821293,3719749
2020-09-10,943.020751953125,946.4499183238637,916.6161589384543,923.4255155489042,3696881
2020-09-11,948.0665893554688,953.3082913953835,933.1252209651506,940.5224110607014,2154611
2020-09-14,948.4094848632812,953.2593180526795,938.6118662179995,953.2593180526795,1836317
2020-09-15,980.5946655273438,984.6607012984447,947.4297494085532,953.1613325558448,6025028
